isbn,bid
9780385538909,25430261
9780312383305,7594148
9781420131628,27272163
9780679604235,19481106
9780345535115,13531257
9780385344333,13359069
9780393241570,26530313
9780553418026,20829029
9781101617274,23174570
9780399155475,3537195
9781418556341,8697319
9781466849624,19283573
9780307956354,12617758
9780307599575,10432980
9780698193031,23355896
9780812988352,25241377
9780385532945,8717667
9780385354202,25810000
9781451642483,11690139
9781439165393,6404538
9780804140041,23834662
9781400068937,6643090
9781101636510,20605872
9780316339643,26030712
9780062109590,11275360
9780525426936,23281918
9780670025190,18668009
9780062002761,22826103
9781939996190,
9780345541833,20442905
9781401305925,17724899
9781101904138,25387596
9781451650617,10774277
9780062316035,24392693
9780062099068,12781288
9780385753128,23395366
9780316349925,25957712
9780062294814,18738866
9781501116995,27276300
9781476764740,18404888
9780345486356,7315990
9781420125887,12679545
A00B005N0PJJO,
9781451667370,13160314
9780062015549,9656688
9780767928427,7480621
9781400065936,7897620
9781476777955,26122226
9780316211192,16131385
9780385517881,1840511
9780399155970,6193821
9780345533586,13531699
9781449458294,23604448
9780385528702,4912857
9781101602102,16646840
9780062098085,13425591
9781101529423,11532190
9780385534642,11337018
9781433675799,13491587
9781250010117,21853628
9780765378552,16065004
9780451462282,2922849
9780804178846,25937666
9780399174674,24611462
9780698170285,23172673
2940011285769,11460756
9781414338279,
9781429951135,12530064
9781460319567,18228772
9780985671952,
9780545643337,
9780399156830,8010346
9781101636237,18351071
9780743270755,2199
9780374158460,7905092
9780698144101,23342832
9780062351210,22864481
9781466872912,23453881
9781451664157,13545856
9780062339447,18780753
9781451629187,11330361
9780062448026,27189104
9781466848900,23604957
9781101885574,27405161
9780385534796,13330603
9780545433167,25943106
9781250043238,23310699
9781459226920,13648704
9780061969652,11940907
9780765383082,23848603
9780670022953,11107244
9781101905494,25387599
9780061750236,9437461
9781250022080,24586590
9781416550747,7781339
9780062380944,23253083
9780670022175,9213976
9780786963713,16142151
9780345511324,7493770
9780062376572,22535532
9781594204791,20821239
9780698190429,28129209
9780399176609,25690957
9781455563128,27294685
9781630350079,18761158
9781476732343,16172219
9781250049377,18081809
9781441240286,16675398
9780785121794,91714
9780316262491,25861096
9780399156533,7144235
9780062327185,18304322
9780345504968,6690798
A00B0146ZAZSQ,
9780307265722,9862761
9780525428879,23874432
9780385743785,23615710
9780765316998,13055592
9781627792417,25630085
9780061796784,10177380
9780984504176,22212838
9780316614351,17697447
9781451624458,11337189
9781451697247,15802944
9780345543042,16169863
9780451465788,23591052
2940015586626,16117907
9780060936228,7741657
9781476711874,16130565
9780698138001,26155910
9781455525928,25614598
9780373780129,23492276
9781455501519,17333403
9781460332962,21926931
9780375899881,12466602
9781439193068,13260650
9780399159879,16158555
9780446527958,16131115
9781101617267,20616731
9780525428527,25361883
9780061727672,6553732
9780062333049,18655937
9780060590314,3684856
9780062112033,12917507
A00B005L9B5YU,
9781400040155,9578336
9781101609507,23152023
9780451462909,6301385
9781439150221,15803040
9780061143441,4774462
9780061160875,2017717
9780345497352,7099060
9781626922716,26247042
9780062310644,25410851
9780670022410,8667848
9781401261498,25810151
A00B013CVOGNU,
9781473837027,
9780062121776,16065495
9781101572528,16387472
9780762766734,11054143
9781594489761,1538911
9780307807687,12735814
9781101603499,16646841
9781421584935,25986953
9780446583145,9509289
9780345527721,11432226
A00B007MNAROM,
9780062077011,10684183
9781451642926,12070728
9780062097767,12457867
9780307775399,9954829
9780062065414,20957338
9780988210899,22377195
9780399177040,25893956
9780062314963,20958256
9780802492401,23737135
9781416586593,7313444
9780446565509,9440429
9781455501526,17333821
9781627795227,25658837
9780759521049,6981063
9780062310637,22328546
9780698146631,22555999
9781476744759,17383059
9781455584963,25744925
9780425241974,10606009
9781451656039,15803741
9781452129563,18639969
9780316340151,23731878
9780399157578,17707654
9780385353403,22889768
9781606998397,25528454
9781455517077,16131444
9781439149942,12171285
9781501108556,25111011
9781101221570,8674706
9780399157387,9440448
9780698180536,26796490
9781401394530,6987228
9781451614213,13187824
9780448483047,25893996
9781455572328,17900001
9780399155840,5529723
9781501100338,25434371
9780062200297,15819572
9780374300432,25689025
9781400067091,10962765
9780007283828,9873804
9781101638002,18789773
9780451477781,26067987
9780804179669,26067187
9781418530839,8583965
9781455501458,9684315
9781632362568,27833729
9780307589361,7750965
9780802122643,18467799
9780062060556,9736930
9780062067753,13147230
9780147515995,27068019
9780307588166,10634650
9780062242419,25816766
9781939713438,26163752
9780345506917,10000270
9780307911575,25300817
9781451668865,12553276
9780765326393,8708009
9781942236085,23213194
9780345536662,15798985
9780812998917,24292310
9781594205415,22749994
9780763670740,25241552
9780312377038,6449551
9781400063970,2586771
9780373773022,3431012
9780804187923,25614279
9780756408794,18249280
9780698157514,25361426
A00B0040JI3M4,
9781493013937,23223195
9780345544063,27272226
9780307460998,15798588
9780778318781,27191346
9781455503704,13525916
9780425230152,6344832
9781594202292,6346975
9781421564203,25111312
9780316069434,13495034
9781493016716,27789455
9781607748151,24388442
9780316381833,25903339
9781250029904,17373423
9781451640267,18870517
9780316098328,9691607
9781416589648,6948436
9780316362832,29214708
9781101598832,25250449
9780698409774,30142352
9780062106117,19367048
9780307453426,12031563
9780399160776,22395145
9780345533487,18635622
9781460343401,23532316
9781476706313,15801651
9780062378132,25817300
9780062434234,25817773
9781594747588,24120519
9781476749136,27221931
9780345529299,12190094
9781451692709,15802749
9780061804199,11807189
9780812995824,23317538
9781250010124,25663721
9780307269751,2429135
A00B000YN5O2W,
9781599953342,9470898
9780061992414,8160806
9781612628332,25614392
9780399155031,2022443
A00B00C9QORFW,
9781588369895,8701702
9781101875285,25489107
9780545790352,24490481
9780312595678,7159515
9781632361196,25810256
9780804136709,25300879
9781420124323,10845925
9780062413871,25489932
9780393240184,22253734
9781455584901,22875469
9780446527873,2825872
9781455582679,18210223
9780515155471,24611749
9780307592736,12262741
9780062305213,22723206
9780698154155,24726584
9781101585535,16441398
9780062267559,18090102
9781101592663,17417253
9780399154980,2202795
9780007302642,19314295
9780785193173,25013184
9781623365967,23848518
9780399161759,16280851
9780345534897,13535471
9781476789651,25535361
9781101999042,25716705
9780316001946,10784143
9780345521224,8459711
9780316065788,6383294
9780553510409,25387393
9780345523525,16029139
9780698173842,
9781455527205,17333441
9780061374265,13264225
9780061692062,20828358
9780373773787,6261976
9780525951445,6561654
9781420135961,25310481
9781101572047,16441285
9780545562041,25582867
9781451638691,15802917
9781101617281,21937575
9780307957238,13531832
9780062371836,24331478
9780758225658,8582816
9781419708459,17290220
9781492629856,25890633
9780525953975,18079682
9781476712055,15746710
9781455521227,17333838
9781629143286,23092905
9780061727665,6553733
9780307911568,25329003
9780698152519,25443305
9781455501472,10875239
9780062065407,17368125
9780446550000,6505109
9781101615867,18737696
9780812994520,20342617
9780545685375,23604435
9780316154703,18656015
9780062276940,17162754
9780802120236,12862985
